,Airline Name,Date Flown,Gender,Age,customer_type,travel_type,class_type,satis_level,Verified,Recommend
76,Aegean Airlines,April 2023,Female,12,1,1,1,1,TRUE,no
77,Aegean Airlines,April 2023,Female,51,2,1,1,1,TRUE,yes
78,Aegean Airlines,April 2023,Male,54,2,1,1,1,TRUE,yes
79,Aegean Airlines,August 2022,Female,33,2,1,1,2,TRUE,no
80,Aegean Airlines,August 2022,Female,45,2,1,1,2,FALSE,no
81,Aegean Airlines,August 2022,Female,54,2,1,1,1,TRUE,no
82,Aegean Airlines,August 2022,Male,16,2,1,1,1,TRUE,no
83,Aegean Airlines,August 2022,Male,21,1,1,2,1,TRUE,no
84,Aegean Airlines,August 2022,Male,36,2,1,1,2,TRUE,no
85,Aegean Airlines,August 2022,Male,37,2,1,1,1,FALSE,yes
86,Aegean Airlines,December 2021,Female,10,2,2,3,1,TRUE,yes
87,Aegean Airlines,December 2021,Male,28,2,2,3,1,TRUE,no
88,Aegean Airlines,December 2021,Male,56,2,1,1,2,TRUE,no
89,Aegean Airlines,December 2022,Female,68,2,2,2,1,TRUE,no
90,Aegean Airlines,December 2022,Male,21,2,2,2,1,FALSE,no
91,Aegean Airlines,December 2022,Male,65,2,2,2,1,TRUE,no
92,Aegean Airlines,February 2022,Female,39,2,1,1,1,TRUE,yes
93,Aegean Airlines,February 2022,Female,56,2,2,3,1,FALSE,yes
94,Aegean Airlines,February 2022,Male,36,1,1,1,1,FALSE,yes
95,Aegean Airlines,February 2023,Female,33,2,2,2,1,TRUE,no
96,Aegean Airlines,January 2023,Male,66,2,2,2,1,TRUE,no
97,Aegean Airlines,July 2022,Female,17,1,1,1,1,TRUE,no
98,Aegean Airlines,July 2022,Female,35,2,1,1,2,TRUE,no
99,Aegean Airlines,July 2022,Female,41,2,1,1,2,FALSE,yes
100,Aegean Airlines,July 2022,Female,49,1,1,1,1,TRUE,no
101,Aegean Airlines,July 2022,Female,51,2,1,1,1,TRUE,no
102,Aegean Airlines,July 2022,Male,40,2,1,1,1,TRUE,no
103,Aegean Airlines,July 2022,Male,60,2,1,1,1,TRUE,no
104,Aegean Airlines,July 2023,Female,18,1,1,3,1,TRUE,no
105,Aegean Airlines,July 2023,Female,23,1,1,2,2,FALSE,no
106,Aegean Airlines,July 2023,Female,52,2,1,1,2,FALSE,no
107,Aegean Airlines,July 2023,Male,42,2,1,1,2,FALSE,no
108,Aegean Airlines,July 2023,Male,44,2,1,1,2,FALSE,no
109,Aegean Airlines,July 2023,Male,44,2,1,1,2,TRUE,yes
110,Aegean Airlines,July 2023,Male,80,2,1,3,1,TRUE,no
111,Aegean Airlines,June 2022,Female,7,2,2,2,1,TRUE,no
112,Aegean Airlines,June 2022,Female,39,2,1,1,2,TRUE,no
113,Aegean Airlines,June 2022,Female,42,2,2,2,1,TRUE,yes
114,Aegean Airlines,June 2022,Female,46,2,1,1,2,FALSE,no
115,Aegean Airlines,June 2022,Female,47,2,1,1,1,TRUE,yes
116,Aegean Airlines,June 2022,Male,14,2,2,2,1,FALSE,yes
117,Aegean Airlines,June 2022,Male,20,2,2,2,1,FALSE,no
118,Aegean Airlines,June 2022,Male,22,1,1,2,1,FALSE,yes
119,Aegean Airlines,June 2023,Female,7,2,2,3,1,TRUE,no
120,Aegean Airlines,June 2023,Female,51,2,1,1,2,TRUE,yes
121,Aegean Airlines,June 2023,Female,55,2,1,1,2,TRUE,yes
122,Aegean Airlines,June 2023,Male,24,1,1,1,2,TRUE,no
123,Aegean Airlines,June 2023,Male,43,2,1,1,1,TRUE,yes
124,Aegean Airlines,June 2023,Male,44,2,1,1,2,TRUE,no
125,Aegean Airlines,June 2023,Male,47,2,1,1,2,TRUE,no
126,Aegean Airlines,March 2022,Male,37,2,1,1,2,FALSE,yes
127,Aegean Airlines,March 2023,Female,26,1,1,1,1,TRUE,no
128,Aegean Airlines,March 2023,Female,38,2,2,2,1,TRUE,no
129,Aegean Airlines,March 2023,Male,17,2,2,2,1,TRUE,no
130,Aegean Airlines,March 2023,Male,32,2,1,1,2,TRUE,yes
131,Aegean Airlines,March 2023,Male,39,2,1,1,2,TRUE,no
132,Aegean Airlines,May 2021,Female,66,2,2,2,1,TRUE,no
133,Aegean Airlines,May 2022,Female,64,2,2,2,1,TRUE,no
134,Aegean Airlines,May 2022,Male,12,2,2,2,1,TRUE,no
135,Aegean Airlines,May 2023,Female,27,1,1,1,2,TRUE,no
136,Aegean Airlines,May 2023,Female,34,2,2,3,1,TRUE,yes
137,Aegean Airlines,May 2023,Female,39,2,1,1,2,FALSE,no
138,Aegean Airlines,May 2023,Female,72,2,1,1,1,TRUE,yes
139,Aegean Airlines,November 2021,Female,36,2,1,1,2,TRUE,yes
140,Aegean Airlines,November 2021,Female,56,2,1,1,2,TRUE,no
141,Aegean Airlines,November 2021,Male,26,1,1,1,1,TRUE,no
142,Aegean Airlines,November 2021,Male,44,2,1,1,2,TRUE,no
143,Aegean Airlines,November 2022,Female,28,1,1,1,1,TRUE,no
144,Aegean Airlines,November 2022,Female,39,2,1,1,2,TRUE,yes
145,Aegean Airlines,November 2022,Male,67,2,2,2,1,TRUE,no
146,Aegean Airlines,October 2021,Male,42,2,1,1,2,TRUE,no
147,Aegean Airlines,October 2021,Male,44,2,1,1,2,TRUE,yes
148,Aegean Airlines,October 2021,Male,49,2,1,1,1,TRUE,yes
149,Aegean Airlines,October 2022,Female,26,1,1,1,1,TRUE,yes
150,Aegean Airlines,October 2022,Female,43,2,1,1,2,TRUE,no
151,Aegean Airlines,October 2022,Male,56,1,1,1,1,TRUE,no
152,Aegean Airlines,September 2021,Female,36,2,2,2,1,FALSE,no
153,Aegean Airlines,September 2021,Female,42,2,1,1,2,TRUE,no
154,Aegean Airlines,September 2021,Female,50,2,1,1,2,FALSE,yes
155,Aegean Airlines,September 2021,Male,20,1,1,1,2,TRUE,no
156,Aegean Airlines,September 2021,Male,35,1,1,1,1,TRUE,no
157,Aegean Airlines,September 2021,Male,36,1,1,1,1,TRUE,no
158,Aegean Airlines,September 2021,Male,44,2,1,1,2,TRUE,no
159,Aegean Airlines,September 2021,Male,52,2,1,1,1,FALSE,yes
160,Aegean Airlines,September 2022,Female,37,2,1,2,1,TRUE,yes
161,Aegean Airlines,September 2022,Female,41,2,1,1,2,TRUE,yes
162,Aegean Airlines,September 2022,Female,55,2,1,1,2,TRUE,yes
163,Aegean Airlines,September 2022,Female,69,2,1,1,1,TRUE,no
164,Aegean Airlines,September 2022,Male,31,2,1,1,2,TRUE,yes
165,Aegean Airlines,September 2022,Male,45,2,1,1,2,TRUE,no
166,Aegean Airlines,September 2022,Male,58,2,1,1,2,TRUE,no
167,Aegean Airlines,September 2022,Male,59,1,1,1,1,TRUE,no
168,Aegean Airlines,September 2022,Male,60,2,1,1,2,TRUE,no
169,Aer Lingus,April 2023,Female,16,2,2,3,2,TRUE,no
170,Aer Lingus,April 2023,Female,38,1,1,1,1,TRUE,no
171,Aer Lingus,April 2023,Female,47,2,1,1,2,FALSE,no
172,Aer Lingus,April 2023,Female,57,2,1,1,2,FALSE,yes
173,Aer Lingus,April 2023,Male,35,2,1,1,1,FALSE,no
174,Aer Lingus,April 2023,Male,47,2,1,3,2,TRUE,no
175,Aer Lingus,August 2022,Female,17,1,1,2,2,TRUE,no
176,Aer Lingus,August 2022,Female,21,1,1,2,2,TRUE,no
177,Aer Lingus,August 2022,Female,23,2,2,2,1,TRUE,no
178,Aer Lingus,August 2022,Female,27,1,1,1,1,TRUE,no
179,Aer Lingus,August 2022,Female,41,2,1,1,2,FALSE,no
180,Aer Lingus,August 2022,Female,42,2,2,3,1,TRUE,no
181,Aer Lingus,August 2022,Female,44,1,1,1,1,FALSE,no
182,Aer Lingus,August 2022,Female,45,2,1,1,1,FALSE,no
183,Aer Lingus,August 2022,Female,46,2,1,1,2,FALSE,no
184,Aer Lingus,August 2022,Male,39,1,1,1,1,FALSE,no
185,Aer Lingus,August 2022,Male,40,1,1,1,2,TRUE,no
186,Aer Lingus,August 2022,Male,44,2,2,2,2,TRUE,no
187,Aer Lingus,August 2022,Male,51,2,2,2,1,FALSE,yes
188,Aer Lingus,August 2022,Male,51,2,2,3,1,TRUE,no
189,Aer Lingus,August 2022,Male,52,2,1,1,1,TRUE,yes
190,Aer Lingus,August 2022,Male,54,2,1,1,2,FALSE,no
191,Aer Lingus,December 2022,Female,29,2,1,1,1,TRUE,no
192,Aer Lingus,December 2022,Female,49,2,1,1,2,TRUE,no
193,Aer Lingus,December 2022,Male,20,1,1,2,1,TRUE,no
194,Aer Lingus,December 2022,Male,22,1,1,2,1,FALSE,no
195,Aer Lingus,December 2022,Male,23,2,1,1,1,TRUE,no
196,Aer Lingus,December 2022,Male,38,1,1,1,1,TRUE,no
197,Aer Lingus,December 2022,Male,50,2,1,1,1,FALSE,no
198,Aer Lingus,February 2023,Male,7,2,2,1,1,TRUE,no
199,Aer Lingus,January 2023,Male,22,2,1,1,2,FALSE,no
200,Aer Lingus,January 2023,Male,44,2,1,1,2,TRUE,no
201,Aer Lingus,July 2022,Female,40,2,1,1,2,TRUE,no
202,Aer Lingus,July 2022,Female,61,2,2,2,1,FALSE,no
203,Aer Lingus,July 2022,Male,26,2,1,1,2,FALSE,no
204,Aer Lingus,July 2022,Male,39,2,2,3,1,TRUE,no
205,Aer Lingus,July 2022,Male,40,2,1,1,2,TRUE,yes
206,Aer Lingus,July 2022,Male,55,2,1,1,2,TRUE,no
207,Aer Lingus,July 2023,Female,43,2,1,1,1,FALSE,no
208,Aer Lingus,July 2023,Male,23,1,1,2,2,TRUE,yes
209,Aer Lingus,July 2023,Male,36,2,1,1,2,TRUE,no
210,Aer Lingus,July 2023,Male,56,2,1,1,2,FALSE,no
211,Aer Lingus,July 2023,Male,57,1,1,1,2,FALSE,no
212,Aer Lingus,June 2022,Female,43,2,1,1,2,TRUE,no
213,Aer Lingus,June 2022,Male,22,1,1,1,2,TRUE,no
214,Aer Lingus,June 2023,Female,27,1,1,2,1,FALSE,no
215,Aer Lingus,June 2023,Female,35,2,2,2,2,TRUE,yes
216,Aer Lingus,June 2023,Female,40,2,1,1,2,FALSE,no
217,Aer Lingus,June 2023,Female,43,2,1,1,1,FALSE,no
218,Aer Lingus,June 2023,Female,69,2,1,1,2,TRUE,no
219,Aer Lingus,June 2023,Female,71,2,1,1,1,TRUE,no
220,Aer Lingus,June 2023,Male,16,2,1,1,1,FALSE,no
221,Aer Lingus,June 2023,Male,22,1,1,2,2,TRUE,yes
222,Aer Lingus,June 2023,Male,38,1,1,1,1,FALSE,no
223,Aer Lingus,June 2023,Male,53,2,1,1,1,TRUE,yes
224,Aer Lingus,June 2023,Male,59,2,1,1,1,FALSE,no
225,Aer Lingus,March 2023,Male,38,1,1,1,1,FALSE,no
226,Aer Lingus,May 2022,Male,25,2,2,2,2,FALSE,no
227,Aer Lingus,May 2023,Female,16,2,2,2,1,TRUE,no
228,Aer Lingus,May 2023,Female,17,2,2,2,1,TRUE,no
229,Aer Lingus,May 2023,Female,30,2,1,1,1,TRUE,no
230,Aer Lingus,May 2023,Female,33,2,1,1,2,TRUE,yes
231,Aer Lingus,May 2023,Female,36,2,2,2,1,FALSE,no
232,Aer Lingus,May 2023,Female,44,2,2,2,1,FALSE,yes
233,Aer Lingus,May 2023,Female,49,1,1,1,1,TRUE,no
234,Aer Lingus,May 2023,Female,56,2,2,2,1,TRUE,no
235,Aer Lingus,May 2023,Female,60,2,1,1,2,FALSE,no
236,Aer Lingus,May 2023,Male,17,2,2,2,1,TRUE,no
237,Aer Lingus,May 2023,Male,29,2,2,2,1,TRUE,no
238,Aer Lingus,May 2023,Male,31,2,2,2,1,TRUE,no
239,Aer Lingus,May 2023,Male,31,2,2,2,1,TRUE,yes
240,Aer Lingus,May 2023,Male,34,2,2,2,1,TRUE,no
241,Aer Lingus,May 2023,Male,35,2,2,2,1,TRUE,no
242,Aer Lingus,May 2023,Male,48,2,2,2,1,TRUE,no
243,Aer Lingus,May 2023,Male,66,2,2,2,1,FALSE,no
244,Aer Lingus,November 2022,Female,70,2,2,2,1,TRUE,no
245,Aer Lingus,November 2022,Male,18,2,2,3,1,TRUE,no
246,Aer Lingus,November 2022,Male,66,1,2,2,1,FALSE,no
247,Aer Lingus,October 2022,Female,55,2,1,1,1,TRUE,no
248,Aer Lingus,October 2022,Male,48,2,1,1,2,FALSE,no
249,Aer Lingus,October 2022,Male,58,2,1,1,2,TRUE,no
250,Aer Lingus,October 2022,Male,62,2,1,1,1,FALSE,no
251,Aer Lingus,September 2022,Female,16,2,2,2,1,TRUE,no
252,Aer Lingus,September 2022,Female,27,1,1,1,1,TRUE,no
253,Aer Lingus,September 2022,Female,29,2,1,1,2,FALSE,yes
254,Aer Lingus,September 2022,Female,39,2,1,1,2,FALSE,yes
255,Aer Lingus,September 2022,Female,43,1,1,2,1,TRUE,no
256,Aer Lingus,September 2022,Female,49,2,1,1,2,FALSE,no
257,Aer Lingus,September 2022,Female,50,2,2,3,1,FALSE,no
258,Aer Lingus,September 2022,Female,55,2,1,1,2,TRUE,no
259,Aer Lingus,September 2022,Female,59,2,1,1,2,FALSE,no
260,Aer Lingus,September 2022,Male,20,1,1,2,1,FALSE,no
261,Aer Lingus,September 2022,Male,30,1,1,1,1,FALSE,no
262,Aer Lingus,September 2022,Male,35,1,1,1,1,TRUE,no
263,Aer Lingus,September 2022,Male,43,2,1,1,1,TRUE,no
264,Aer Lingus,September 2022,Male,43,2,2,1,1,FALSE,no
265,Aer Lingus,September 2022,Male,44,2,1,1,2,TRUE,no
266,Aer Lingus,September 2022,Male,53,2,1,1,1,TRUE,no
267,Aer Lingus,September 2022,Male,63,2,2,1,1,TRUE,no
268,Aero VIP,April 2019,Female,54,2,2,2,1,TRUE,yes
269,Aero VIP,April 2019,Male,17,2,2,2,1,TRUE,yes
270,Aero VIP,July 2017,Female,47,2,1,1,1,FALSE,yes
271,AeroItalia,April 2023,Male,23,1,1,2,2,TRUE,no
272,Aerocaribbean,,Female,55,2,1,1,2,FALSE,yes
273,Aeroflot Russian Airlines,April 2019,Female,26,1,1,1,1,TRUE,no
274,Aeroflot Russian Airlines,April 2019,Female,27,1,1,1,1,TRUE,no
275,Aeroflot Russian Airlines,April 2019,Female,54,2,1,1,2,TRUE,no
276,Aeroflot Russian Airlines,April 2019,Male,35,2,1,1,1,TRUE,no
277,Aeroflot Russian Airlines,April 2019,Male,49,2,1,1,2,FALSE,yes
278,Aeroflot Russian Airlines,April 2019,Male,52,2,1,1,2,TRUE,no
279,Aeroflot Russian Airlines,April 2019,Male,56,2,1,1,2,TRUE,no
280,Aeroflot Russian Airlines,April 2020,Female,25,1,1,1,1,FALSE,no
281,Aeroflot Russian Airlines,April 2020,Female,25,2,1,1,2,TRUE,no
282,Aeroflot Russian Airlines,April 2020,Female,29,1,1,1,1,TRUE,no
283,Aeroflot Russian Airlines,April 2020,Female,44,2,1,1,2,FALSE,no
284,Aeroflot Russian Airlines,April 2020,Male,22,2,1,1,2,TRUE,no
285,Aeroflot Russian Airlines,April 2020,Male,42,2,1,1,1,TRUE,no
286,Aeroflot Russian Airlines,April 2020,Male,59,2,1,1,2,TRUE,no
287,Aeroflot Russian Airlines,August 2019,Female,35,2,1,1,2,TRUE,yes
288,Aeroflot Russian Airlines,August 2019,Female,42,2,1,1,2,TRUE,yes
289,Aeroflot Russian Airlines,August 2019,Female,46,2,1,1,2,TRUE,no
290,Aeroflot Russian Airlines,August 2019,Female,53,2,1,1,2,FALSE,yes
291,Aeroflot Russian Airlines,August 2019,Male,26,1,1,1,2,TRUE,yes
292,Aeroflot Russian Airlines,August 2019,Male,27,1,1,1,1,TRUE,no
293,Aeroflot Russian Airlines,August 2019,Male,49,2,1,1,2,FALSE,yes
294,Aeroflot Russian Airlines,August 2019,Male,56,2,2,2,1,TRUE,yes
295,Aeroflot Russian Airlines,August 2020,Female,21,1,1,1,1,TRUE,no
296,Aeroflot Russian Airlines,August 2020,Female,60,2,1,1,1,TRUE,yes
297,Aeroflot Russian Airlines,August 2020,Male,49,2,1,1,1,TRUE,yes
298,Aeroflot Russian Airlines,August 2021,Female,56,2,1,1,2,TRUE,no
299,Aeroflot Russian Airlines,August 2021,Male,51,2,1,1,2,FALSE,yes
300,Aeroflot Russian Airlines,August 2021,Male,53,2,1,1,2,FALSE,yes
301,Aeroflot Russian Airlines,December 2019,Male,8,2,2,2,1,TRUE,no
302,Aeroflot Russian Airlines,December 2019,Male,9,2,2,2,1,TRUE,yes
303,Aeroflot Russian Airlines,December 2019,Male,44,2,1,2,2,TRUE,yes
304,Aeroflot Russian Airlines,December 2019,Male,68,2,2,2,1,TRUE,yes
305,Aeroflot Russian Airlines,December 2020,Female,59,2,1,1,2,TRUE,no
306,Aeroflot Russian Airlines,February 2020,Male,26,1,1,2,1,TRUE,yes
307,Aeroflot Russian Airlines,February 2020,Male,37,2,2,2,1,TRUE,no
308,Aeroflot Russian Airlines,February 2020,Male,51,2,1,1,1,TRUE,yes
309,Aeroflot Russian Airlines,January 2019,Male,52,2,1,1,2,TRUE,no
310,Aeroflot Russian Airlines,January 2020,Female,22,2,2,2,1,TRUE,no
311,Aeroflot Russian Airlines,January 2020,Female,35,2,2,2,1,TRUE,no
312,Aeroflot Russian Airlines,January 2020,Female,56,2,1,1,1,TRUE,no
313,Aeroflot Russian Airlines,January 2020,Female,57,2,2,2,1,TRUE,no
314,Aeroflot Russian Airlines,January 2020,Female,58,2,2,2,1,TRUE,no
315,Aeroflot Russian Airlines,January 2020,Male,16,2,2,2,1,TRUE,no
316,Aeroflot Russian Airlines,January 2020,Male,21,1,1,1,2,TRUE,no
317,Aeroflot Russian Airlines,January 2020,Male,27,2,2,2,1,TRUE,yes
318,Aeroflot Russian Airlines,January 2022,Male,52,2,1,1,2,TRUE,no
319,Aeroflot Russian Airlines,January 2023,Female,24,1,1,1,2,TRUE,no
320,Aeroflot Russian Airlines,July 2019,Female,30,2,2,2,1,TRUE,no
321,Aeroflot Russian Airlines,July 2019,Female,39,2,1,1,2,TRUE,yes
322,Aeroflot Russian Airlines,July 2019,Male,41,1,1,1,2,TRUE,no
323,Aeroflot Russian Airlines,July 2019,Male,43,2,1,1,2,TRUE,no
324,Aeroflot Russian Airlines,July 2019,Male,53,2,1,1,2,TRUE,yes
325,Aeroflot Russian Airlines,July 2020,Male,26,1,1,1,1,FALSE,no
326,Aeroflot Russian Airlines,July 2021,Female,60,2,1,1,2,TRUE,no
327,Aeroflot Russian Airlines,July 2022,Male,40,2,1,1,2,TRUE,no
328,Aeroflot Russian Airlines,June 2019,Female,33,2,2,2,1,TRUE,yes
329,Aeroflot Russian Airlines,June 2019,Female,42,2,1,1,2,TRUE,no
330,Aeroflot Russian Airlines,June 2019,Female,46,2,1,1,2,TRUE,no
331,Aeroflot Russian Airlines,June 2019,Female,54,2,1,1,2,TRUE,no
332,Aeroflot Russian Airlines,June 2019,Female,56,2,1,1,2,TRUE,no
333,Aeroflot Russian Airlines,June 2019,Female,58,2,1,1,2,TRUE,no
334,Aeroflot Russian Airlines,June 2019,Male,43,2,1,1,2,TRUE,no
335,Aeroflot Russian Airlines,June 2019,Male,45,2,1,1,2,TRUE,yes
336,Aeroflot Russian Airlines,June 2019,Male,50,2,1,1,2,TRUE,no
337,Aeroflot Russian Airlines,June 2019,Male,54,2,1,1,2,FALSE,no
338,Aeroflot Russian Airlines,March 2019,Male,38,1,1,1,2,TRUE,no
339,Aeroflot Russian Airlines,March 2020,Female,37,1,1,2,2,TRUE,yes
340,Aeroflot Russian Airlines,March 2020,Female,39,2,1,1,1,TRUE,no
341,Aeroflot Russian Airlines,March 2020,Male,30,1,1,1,1,TRUE,no
342,Aeroflot Russian Airlines,March 2020,Male,46,2,1,1,1,TRUE,no
343,Aeroflot Russian Airlines,May 2019,Female,35,2,1,1,2,TRUE,no
344,Aeroflot Russian Airlines,May 2019,Female,45,2,1,1,2,TRUE,no
345,Aeroflot Russian Airlines,May 2019,Female,52,2,1,1,2,TRUE,no
346,Aeroflot Russian Airlines,May 2019,Female,54,2,1,1,2,TRUE,no
347,Aeroflot Russian Airlines,May 2019,Female,58,2,1,1,2,TRUE,no
348,Aeroflot Russian Airlines,May 2019,Male,58,2,1,1,2,TRUE,no
349,Aeroflot Russian Airlines,May 2019,Male,69,2,1,1,2,TRUE,yes
350,Aeroflot Russian Airlines,November 2019,Female,40,2,1,2,1,TRUE,yes
351,Aeroflot Russian Airlines,November 2019,Male,47,2,1,1,1,TRUE,no
352,Aeroflot Russian Airlines,October 2019,Female,7,2,2,3,1,TRUE,no
353,Aeroflot Russian Airlines,October 2019,Female,25,2,1,1,2,TRUE,no
354,Aeroflot Russian Airlines,October 2019,Female,37,2,2,3,1,TRUE,yes
355,Aeroflot Russian Airlines,October 2019,Male,57,2,1,1,1,TRUE,no
356,Aeroflot Russian Airlines,October 2020,Female,25,1,1,1,2,TRUE,yes
357,Aeroflot Russian Airlines,October 2020,Male,56,2,1,1,2,TRUE,no
358,Aeroflot Russian Airlines,September 2019,Female,31,2,1,1,2,TRUE,yes
359,Aeroflot Russian Airlines,September 2019,Female,33,1,1,1,1,TRUE,no
360,Aeroflot Russian Airlines,September 2019,Female,39,1,1,1,1,TRUE,yes
361,Aeroflot Russian Airlines,September 2019,Female,39,2,1,1,2,TRUE,no
362,Aeroflot Russian Airlines,September 2019,Female,43,2,1,1,2,TRUE,yes
363,Aeroflot Russian Airlines,September 2019,Female,51,2,2,3,1,TRUE,yes
364,Aeroflot Russian Airlines,September 2019,Male,16,2,2,3,1,TRUE,no
365,Aeroflot Russian Airlines,September 2019,Male,24,1,1,2,2,TRUE,yes
366,Aeroflot Russian Airlines,September 2019,Male,40,2,1,1,2,TRUE,no
367,Aeroflot Russian Airlines,September 2019,Male,50,2,1,1,2,TRUE,no
368,Aeroflot Russian Airlines,September 2019,Male,55,2,1,1,2,FALSE,yes
369,Aeroflot Russian Airlines,September 2021,Female,31,2,1,1,2,TRUE,yes
370,Aeroflot Russian Airlines,September 2021,Female,43,2,1,1,1,TRUE,yes
371,Aeroflot Russian Airlines,September 2021,Male,26,1,1,1,2,TRUE,yes
372,Aerolineas Argentinas,,Female,30,2,1,1,2,FALSE,yes
373,Aerolineas Argentinas,,Female,32,1,1,1,1,FALSE,yes
374,Aerolineas Argentinas,,Female,34,2,1,1,2,FALSE,yes
375,Aerolineas Argentinas,,Female,37,1,1,1,2,FALSE,yes
376,Aerolineas Argentinas,,Female,39,2,1,1,2,FALSE,no
377,Aerolineas Argentinas,,Female,41,2,1,1,2,FALSE,no
378,Aerolineas Argentinas,,Female,43,2,1,1,2,FALSE,no
